Scuola,Autore,Soggetto/Titolo,Data,Sala
lombarda,Pittore leonardesco,Leda e il cigno,1505-1507 circa,23 - Mantegna e Correggio
lombarda,"Luini, Bernardino",Salomè con la testa del Battista,1527 circa,23 - Mantegna e Correggio
ferrarese,"Boccaccino, Boccaccio",Zingarella,1504-1505 circa,23 - Mantegna e Correggio
lombarda,"Boltraffio, Giovanni Antonio",Narciso alla fonte,1500-1510 circa,23 - Mantegna e Correggio
senese,Sodoma,Cristo tra gli sgherri,1525-1549 circa,23 - Mantegna e Correggio
lombarda,"Araldi, Alessandro",Ritratto di Barbara Pallavicino,1510 circa,23 - Mantegna e Correggio
lombarda,Giampietrino,Santa Caterina d'Alessandria,1530-1540 circa,23 - Mantegna e Correggio
lombarda,"Predis, Giovanni Ambrogio de'",Ritratto virile,1490-1510 circa,23 - Mantegna e Correggio
lombarda,"Conti, Bernardino de'",Ritratto virile,1490-1510 circa,23 - Mantegna e Correggio
ferrarese,"Maineri, Giovanni Francesco de'",Cristo portacroce,1506 -1525 circa,23 - Mantegna e Correggio
emiliana,Correggio,Madonna col Bambino tra due angeli musicanti,1515-1516 circa,23 - Mantegna e Correggio
emiliana,Correggio,Riposo dalla fuga in Egitto con san Francesco,1520 circa,23 - Mantegna e Correggio
emiliana,Correggio,Adorazione del Bambino,1526 circa,23 - Mantegna e Correggio
fiorentina,"Albertinelli, Mariotto",Visitazione e predella con Storie dell'infanzia di Cristo,1503,25 - Michelangelo e i fiorentini
fiorentina,"Bartolomeo, Fra'",Tabernacolo Del Pugliese,1500 circa,25 - Michelangelo e i fiorentini
fiorentina,"Bartolomeo, Fra'",Apparizione della Vergine a san Bernardo,1504-1507,25 - Michelangelo e i fiorentini
fiorentina,"Bartolomeo, Fra'",Porzia,1516 circa,25 - Michelangelo e i fiorentini
fiorentina,Michelangelo,Tondo Doni,1506-1508 circa,25 - Michelangelo e i fiorentini
fiorentina,Ridolfo del Ghirlandaio (attr.),Donna velata,1510 circa,25 - Michelangelo e i fiorentini
fiorentina,Ridolfo del Ghirlandaio (attr.),Coperta di ritratto con grottesche,1510 circa,25 - Michelangelo e i fiorentini
spagnola,"Berruguete, Alonso",Salomè,1512-1517 circa,25 - Michelangelo e i fiorentini
spagnola,"Berruguete, Alonso",Madonna col Bambino,1515 circa,25 - Michelangelo e i fiorentini
fiorentina,"Granacci, Francesco",Giuseppe condotto in carcere,1515 circa,25 - Michelangelo e i fiorentini
fiorentina,"Granacci, Francesco",Giuseppe presenta il padre e i fratelli al Faraone,1515 circa,25 - Michelangelo e i fiorentini
senese,Beccafumi,Sacra Famiglia con san Giovannino,1518-1519,27 - (Pontormo e Rosso Fiorentino)
senese,Beccafumi,Autoritratto,1525-1530 circa,27 - (Pontormo e Rosso Fiorentino)
senese,Giorgio di Giovanni,Fuga di Clelia e delle vergini romane,1538-1540 circa,27 - (Pontormo e Rosso Fiorentino)
fiorentina,"Foschi, Pierfrancesco di Jacopo (attr.)",Ritratto virile,1530-1540 circa,27 - (Pontormo e Rosso Fiorentino)
romana,Perin del Vaga,Tarquinio Prisco fonda il tempio di Giove in Campidoglio,1521 circa,27 - (Pontormo e Rosso Fiorentino)
romana,Perin del Vaga,Giustizia di Seleuco,1521 circa,27 - (Pontormo e Rosso Fiorentino)
fiorentina,"Salviati, Francesco",Adorazione dei pastori,1545 circa,27 - (Pontormo e Rosso Fiorentino)
fiorentina,"Salviati, Francesco",Carità,1543-1545 circa,Depositi
romana,"Romano, Giulio",Madonna col Bambino,1520-1530 circa,Depositi
veneta,"Palma il Vecchio, Jacopo",Sacra Famiglia coi santi Giovannino e Maria Maddalena,1508-1512 circa,28 - Tiziano e Sebastiano del Piombo
veneta,"Palma il Vecchio, Jacopo",Ritratto di donna con ritratto d'uomo sul retro,1515 circa,28 - Tiziano e Sebastiano del Piombo
veneta,"Palma il Vecchio, Jacopo",Resurrezione di Lazzaro,1508-1510 circa,28 - Tiziano e Sebastiano del Piombo
veneta,"Palma il Vecchio, Jacopo",Giuditta,1525-1528 circa,28 - Tiziano e Sebastiano del Piombo
veneta,Tiziano,Cristo risorto,1511-1512,28 - Tiziano e Sebastiano del Piombo
veneta,Tiziano,Ritratto del vescovo Ludovico Beccadelli,1552,28 - Tiziano e Sebastiano del Piombo
veneta,Tiziano,Ritratto di un cavaliere di Malta,1510-1515 circa,28 - Tiziano e Sebastiano del Piombo
